subject,question,option1,option2,option3,option4,answer
Aptitude,What is 25% of 480?,100,110,120,130,120
Aptitude,A train travels 360 km in 4 hours. What is its speed?,80 km/h,85 km/h,90 km/h,95 km/h,90 km/h
Aptitude,If x + 12 = 35 then x = ?,21,22,23,24,23
Aptitude,What is the average of 12 18 24 30 36?,20,22,24,26,24
Aptitude,What is the value of 18²?,314,324,334,344,324
Aptitude,Find the next number: 3 6 12 24 ?,36,42,48,54,48
Aptitude,If 8 workers complete a job in 15 days how many days will 12 workers take?,8,9,10,12,10
Aptitude,A shopkeeper sells an item for ₹960 after a 20% discount. What was the marked price?,1000,1100,1200,1250,1200
Aptitude,What is 15% of 800?,100,110,120,130,120
Aptitude,Find the HCF of 36 and 48.,6,8,12,16,12
Aptitude,Find the LCM of 12 and 18.,24,30,36,48,36
Aptitude,If the ratio of boys to girls is 3:2 and there are 30 boys then girls = ?,18,20,22,24,20
Aptitude,A number increased by 40% becomes 210. Find the original number.,140,150,160,170,150
Aptitude,Simple interest on ₹5000 at 10% for 2 years is?,900,950,1000,1100,1000
Aptitude,Compound interest on ₹1000 at 10% for 2 years is?,200,210,220,230,210
Aptitude,If a car travels 150 km using 10 litres of fuel what is the mileage?,12 km/L,13 km/L,14 km/L,15 km/L,15 km/L
Aptitude,Find the missing number: 5 10 20 40 ?,60,70,75,80,80
Aptitude,What is the probability of getting a head when tossing one coin?,1/4,1/3,1/2,1,1/2
Aptitude,A bag contains 5 red and 5 blue balls. Probability of selecting a red ball?,1/4,1/3,1/2,2/3,1/2
Aptitude,If 5 pens cost ₹175 what is the cost of one pen?,₹30,₹35,₹40,₹45,₹35
Aptitude,What is 17 × 19?,313,323,333,343,323
Aptitude,The square root of 625 is?,20,22,24,25,25
Aptitude,The cube root of 729 is?,7,8,9,10,9
Aptitude,What is 35% of 600?,190,200,210,220,210
Aptitude,A person buys an item for ₹750 and sells it for ₹900. Profit percentage is?,18%,20%,22%,25%,20
Aptitude,Find the value of 7³.,243,294,343,392,343
Aptitude,The perimeter of a rectangle is 40 cm. If length is 12 cm then breadth is?,6 cm,7 cm,8 cm,9 cm,8 cm
Aptitude,Area of a rectangle with length 15 cm and breadth 8 cm is?,100,110,120,130,120
Aptitude,Area of a circle of radius 7 cm using π=22/7 is?,132,144,154,164,154
Aptitude,How many degrees are there in a right angle?,45,60,90,180,90
Aptitude,Find the next number: 2 5 10 17 26 ?,35,36,37,38,37
Aptitude,If 40% of a number is 160 then the number is?,300,350,400,450,400
Aptitude,A man covers half the distance at 40 km/h and the remaining half at 60 km/h. Average speed is?,46 km/h,48 km/h,50 km/h,52 km/h,48 km/h
Aptitude,Find the odd one out: 4 9 16 20 25,4,9,20,25,20
Aptitude,Which number is divisible by both 6 and 9?,18,24,36,54,54
Aptitude,If 12 notebooks cost ₹540 then cost of 5 notebooks is?,₹200,₹210,₹220,₹225,₹225
Aptitude,A sum doubles in 8 years at simple interest. What is the rate?,10%,12.5%,15%,20%,12.5%
Aptitude,The average of first five even numbers is?,4,5,6,7,6
Aptitude,What is the remainder when 125 is divided by 8?,3,4,5,6,5
Aptitude,How many diagonals does a rectangle have?,1,2,3,4,2
Aptitude,Find the missing number: 81 27 9 3 ?,0,1,2,4,1
Aptitude,A train 180 m long crosses a pole in 12 seconds. Speed is?,12 m/s,15 m/s,18 m/s,20 m/s,15 m/s
Aptitude,If the selling price is ₹1260 and the profit is 20% then cost price is?,₹1000,₹1050,₹1100,₹1150,₹1050
Aptitude,What is 45% of 900?,395,400,405,410,405
Aptitude,The sum of angles in a triangle is?,90°,180°,270°,360°,180°
Aptitude,Find the median of 4 6 8 10 12.,6,7,8,9,8
Aptitude,What is the mode of 2 3 3 4 5 5 5 6?,2,3,4,5,5
Aptitude,If today is Monday what day will it be after 45 days?,Tuesday,Wednesday,Thursday,Friday,Tuesday
Aptitude,How many seconds are there in 2.5 hours?,7200,8400,9000,9600,9000
Aptitude,If a number is divisible by both 4 and 6 then it must also be divisible by?,8,10,12,16,12

