subject,question,option1,option2,option3,option4,answer
C,Who developed the C programming language?,Bjarne Stroustrup,Dennis Ritchie,James Gosling,Guido van Rossum,Dennis Ritchie
C,Which header file is required for printf()?,stdio.h,stdlib.h,string.h,math.h,stdio.h
C,Which function is the entry point of a C program?,start(),main(),begin(),init(),main()
C,Which symbol is used to end a C statement?,.,;,::,#,;
C,Which data type stores a single character?,char,int,float,double,char
C,Which operator is used to get the address of a variable?,*,&,%,@,&
C,Which operator is used for multiplication?,*,x,&,#,*
C,What is the size of char in C?,1 Byte,2 Bytes,4 Bytes,8 Bytes,1 Byte
C,Which keyword is used to declare a constant?,const,constant,define,static,const
C,Which loop executes at least once?,for,while,do-while,foreach,do-while
C,Which keyword is used to exit a loop?,stop,exit,break,return,break
C,Which keyword skips the current iteration?,skip,pass,continue,next,continue
C,Which operator is used for logical AND?,&&,||,&,!,&&
C,Which operator is used for logical OR?,&&,||,&,|,||
C,Which function reads formatted input from the keyboard?,scanf(),gets(),fgets(),input(),scanf()
C,Which function prints formatted output to the screen?,printf(),puts(),display(),cout,printf()
C,Which symbol begins a single-line comment in C?,//,/*,#,--,//
C,Which function calculates the length of a string?,strlen(),length(),size(),count(),strlen()
C,Which header file contains strlen()?,string.h,stdio.h,math.h,stdlib.h,string.h
C,Which function copies one string into another?,strcpy(),strcat(),strcmp(),strlen(),strcpy()
C,Which function compares two strings?,strcmp(),strcpy(),strlen(),strcat(),strcmp()
C,Which function joins two strings?,strcat(),strcpy(),strcmp(),strlen(),strcat()
C,Which library contains malloc()?,stdlib.h,stdio.h,string.h,math.h,stdlib.h
C,Which function is used to allocate dynamic memory?,malloc(),calloc(),realloc(),All of these,All of these
C,Which function releases dynamically allocated memory?,delete(),remove(),free(),clear(),free
C,Which function allocates memory and initializes it to zero?,calloc(),malloc(),realloc(),free(),calloc()
C,Which function changes the size of previously allocated memory?,malloc(),calloc(),realloc(),free(),realloc()
C,Which keyword is used to define a structure?,struct,class,record,union,struct
C,Which keyword is used to define a union?,union,struct,class,record,union
C,Which storage class makes a variable local to a function and preserves its value?,static,auto,extern,register,static
C,Which storage class is the default for local variables?,auto,static,extern,register,auto
C,Which storage class is used to declare a global variable in another file?,extern,static,register,auto,extern
C,Which keyword prevents modification of a variable?,const,volatile,static,extern,const
C,Which preprocessor directive is used to include a header file?,#include,#define,#ifdef,#ifndef,#include
C,Which preprocessor directive is used to define a macro?,#define,#include,#pragma,#undef,#define
C,Which operator is used to access a structure member?,.,->,::,:,. 
C,Which operator is used to access a structure member through a pointer?,->,.,::,&,-> 
C,Which function opens a file?,fopen(),open(),fileopen(),create(),fopen()
C,Which function closes a file?,fclose(),close(),endfile(),exit(),fclose()
C,Which function writes a string to a file?,fputs(),puts(),fprintf(),fwrite(),fputs()
C,Which function reads a string from a file?,fgets(),gets(),scanf(),fscanf(),fgets()
C,Which function writes formatted output to a file?,fprintf(),printf(),sprintf(),fputs(),fprintf()
C,Which function reads formatted input from a file?,fscanf(),scanf(),fgets(),fread(),fscanf()
C,What is the index of the first element of an array?,0,1,-1,Depends on compiler,0
C,How many dimensions can an array have in C?,One only,Two only,Multiple,None,Multiple
C,Which function is used to sort an array from the standard library?,qsort(),sort(),arrsort(),bubblesort(),qsort()
C,Which header file contains qsort()?,stdlib.h,stdio.h,string.h,math.h,stdlib.h
C,Which operator is used for bitwise AND?,&,&&,|,^,&
C,Which operator is used for bitwise OR?,|,||,&,^,|
C,Which operator is used for bitwise XOR?,^,&,|,~,^
